* AERMOD ( 19191): DISPERSIÓN - CO                                                         04/30/20
* AERMET ( 19191): EJECUTADO POR N. USCUCHAGUA                                              22:39:42
* MODELING OPTIONS USED:   NonDFAULT  CONC  FLAT  FLGPOL  RURAL  ADJ_U*  MMIF_Data
*         POST/PLOT FILE OF CONCURRENT  1-HR VALUES FOR SOURCE GROUP: ALL     
*         FOR A TOTAL OF     2 RECEPTORS.
*         FORMAT: (3(1X,F13.5),3(1X,F8.2),2X,A6,2X,A8,2X,I8.8,2X,A8)                                                                                                                                                      
*        X             Y      AVERAGE CONC    ZELEV    ZHILL    ZFLAG    AVE     GRP       DATE     NET ID
* ____________  ____________  ____________   ______   ______   ______  ______  ________  ________  ________
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010208          
  499990.00000 8341510.00000       1.64442   500.00   500.00     1.50    1-HR  ALL       16010209          
  500020.00000 8341827.00000       9.88729   500.00   500.00     1.50    1-HR  ALL       16010209          
  499990.00000 8341510.00000       0.42982   500.00   500.00     1.50    1-HR  ALL       16010210          
  500020.00000 8341827.00000       9.97283   500.00   500.00     1.50    1-HR  ALL       16010210          
  499990.00000 8341510.00000       0.32138   500.00   500.00     1.50    1-HR  ALL       16010211          
  500020.00000 8341827.00000      12.94929   500.00   500.00     1.50    1-HR  ALL       16010211          
  499990.00000 8341510.00000       0.11542   500.00   500.00     1.50    1-HR  ALL       16010212          
  500020.00000 8341827.00000       7.17656   500.00   500.00     1.50    1-HR  ALL       16010212          
  499990.00000 8341510.00000       0.08556   500.00   500.00     1.50    1-HR  ALL       16010213          
  500020.00000 8341827.00000       6.08729   500.00   500.00     1.50    1-HR  ALL       16010213          
  499990.00000 8341510.00000       0.10106   500.00   500.00     1.50    1-HR  ALL       16010214          
  500020.00000 8341827.00000       6.40623   500.00   500.00     1.50    1-HR  ALL       16010214          
  499990.00000 8341510.00000       0.08707   500.00   500.00     1.50    1-HR  ALL       16010215          
  500020.00000 8341827.00000       3.35958   500.00   500.00     1.50    1-HR  ALL       16010215          
  499990.00000 8341510.00000       0.06080   500.00   500.00     1.50    1-HR  ALL       16010216          
  500020.00000 8341827.00000       2.55925   500.00   500.00     1.50    1-HR  ALL       16010216          
  499990.00000 8341510.00000       0.01387   500.00   500.00     1.50    1-HR  ALL       16010217          
  500020.00000 8341827.00000       0.06332   500.00   500.00     1.50    1-HR  ALL       16010217          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010218          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010218          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010219          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010219          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010220          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010220          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010221          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010221          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010222          
