* AERMOD ( 19191): DISPERSIÓN - CO                                                         04/30/20
* AERMET ( 19191): EJECUTADO POR N. USCUCHAGUA                                              22:39:42
* MODELING OPTIONS USED:   NonDFAULT  CONC  FLAT  FLGPOL  RURAL  ADJ_U*  MMIF_Data
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010508          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010508          
  499990.00000 8341510.00000       0.38473   500.00   500.00     1.50    8-HR  ALL       16010516          
  500020.00000 8341827.00000      11.54128   500.00   500.00     1.50    8-HR  ALL       16010516          
  499990.00000 8341510.00000       0.00179   500.00   500.00     1.50    8-HR  ALL       16010524          
  500020.00000 8341827.00000       0.00317   500.00   500.00     1.50    8-HR  ALL       16010524          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010608          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010608          
  499990.00000 8341510.00000       0.09443   500.00   500.00     1.50    8-HR  ALL       16010616          
  500020.00000 8341827.00000       5.20395   500.00   500.00     1.50    8-HR  ALL       16010616          
  499990.00000 8341510.00000       0.00028   500.00   500.00     1.50    8-HR  ALL       16010624          
  500020.00000 8341827.00000       0.00147   500.00   500.00     1.50    8-HR  ALL       16010624          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010708          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010708          
  499990.00000 8341510.00000       0.00981   500.00   500.00     1.50    8-HR  ALL       16010716          
  500020.00000 8341827.00000       0.81422   500.00   500.00     1.50    8-HR  ALL       16010716          
  499990.00000 8341510.00000       0.00005   500.00   500.00     1.50    8-HR  ALL       16010724          
  500020.00000 8341827.00000       0.00087   500.00   500.00     1.50    8-HR  ALL       16010724          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010808          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010808          
  499990.00000 8341510.00000       0.09126   500.00   500.00     1.50    8-HR  ALL       16010816          
  500020.00000 8341827.00000       5.40999   500.00   500.00     1.50    8-HR  ALL       16010816          
  499990.00000 8341510.00000       0.00040   500.00   500.00     1.50    8-HR  ALL       16010824          
  500020.00000 8341827.00000       0.00616   500.00   500.00     1.50    8-HR  ALL       16010824          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010908          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010908          
  499990.00000 8341510.00000       0.17179   500.00   500.00     1.50    8-HR  ALL       16010916          
  500020.00000 8341827.00000       9.52916   500.00   500.00     1.50    8-HR  ALL       16010916          
  499990.00000 8341510.00000       0.00066   500.00   500.00     1.50    8-HR  ALL       16010924          
  500020.00000 8341827.00000       0.02047   500.00   500.00     1.50    8-HR  ALL       16010924          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011008          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011008          
  499990.00000 8341510.00000       0.26806   500.00   500.00     1.50    8-HR  ALL       16011016          
  500020.00000 8341827.00000      13.52999   500.00   500.00     1.50    8-HR  ALL       16011016          
  499990.00000 8341510.00000       0.00495   500.00   500.00     1.50    8-HR  ALL       16011024          
  500020.00000 8341827.00000       0.12763   500.00   500.00     1.50    8-HR  ALL       16011024          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011108          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011108          
  499990.00000 8341510.00000       0.56310   500.00   500.00     1.50    8-HR  ALL       16011116          
  500020.00000 8341827.00000      10.01989   500.00   500.00     1.50    8-HR  ALL       16011116          
  499990.00000 8341510.00000       0.00694   500.00   500.00     1.50    8-HR  ALL       16011124          
  500020.00000 8341827.00000       0.29428   500.00   500.00     1.50    8-HR  ALL       16011124          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011208          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011208          
  499990.00000 8341510.00000       0.25153   500.00   500.00     1.50    8-HR  ALL       16011216          
  500020.00000 8341827.00000      11.91296   500.00   500.00     1.50    8-HR  ALL       16011216          
  499990.00000 8341510.00000       0.00239   500.00   500.00     1.50    8-HR  ALL       16011224          
  500020.00000 8341827.00000       0.05768   500.00   500.00     1.50    8-HR  ALL       16011224          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011308          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011308          
  499990.00000 8341510.00000       0.18656   500.00   500.00     1.50    8-HR  ALL       16011316          
  500020.00000 8341827.00000       8.89341   500.00   500.00     1.50    8-HR  ALL       16011316          
  499990.00000 8341510.00000       0.00026   500.00   500.00     1.50    8-HR  ALL       16011324          
  500020.00000 8341827.00000       0.00458   500.00   500.00     1.50    8-HR  ALL       16011324          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011408          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011408          
  499990.00000 8341510.00000       0.13629   500.00   500.00     1.50    8-HR  ALL       16011416          
  500020.00000 8341827.00000       8.45114   500.00   500.00     1.50    8-HR  ALL       16011416          
  499990.00000 8341510.00000       0.00024   500.00   500.00     1.50    8-HR  ALL       16011424          
  500020.00000 8341827.00000       0.01174   500.00   500.00     1.50    8-HR  ALL       16011424          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011508          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011508          
  499990.00000 8341510.00000       0.09155   500.00   500.00     1.50    8-HR  ALL       16011516          
  500020.00000 8341827.00000       5.03921   500.00   500.00     1.50    8-HR  ALL       16011516          
  499990.00000 8341510.00000       0.00061   500.00   500.00     1.50    8-HR  ALL       16011524          
  500020.00000 8341827.00000       0.00518   500.00   500.00     1.50    8-HR  ALL       16011524          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011608          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011608          
  499990.00000 8341510.00000       0.13695   500.00   500.00     1.50    8-HR  ALL       16011616          
  500020.00000 8341827.00000       7.87055   500.00   500.00     1.50    8-HR  ALL       16011616          
  499990.00000 8341510.00000       0.00091   500.00   500.00     1.50    8-HR  ALL       16011624          
  500020.00000 8341827.00000       0.00712   500.00   500.00     1.50    8-HR  ALL       16011624          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011708          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011708          
  499990.00000 8341510.00000       0.36526   500.00   500.00     1.50    8-HR  ALL       16011716          
  500020.00000 8341827.00000      14.49987   500.00   500.00     1.50    8-HR  ALL       16011716          
  499990.00000 8341510.00000       0.00064   500.00   500.00     1.50    8-HR  ALL       16011724          
  500020.00000 8341827.00000       0.00934   500.00   500.00     1.50    8-HR  ALL       16011724          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011808          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011808          
  499990.00000 8341510.00000       0.07859   500.00   500.00     1.50    8-HR  ALL       16011816          
  500020.00000 8341827.00000       2.38322   500.00   500.00     1.50    8-HR  ALL       16011816          
  499990.00000 8341510.00000       0.00054   500.00   500.00     1.50    8-HR  ALL       16011824          
  500020.00000 8341827.00000       0.00034   500.00   500.00     1.50    8-HR  ALL       16011824          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011908          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16011908          
  499990.00000 8341510.00000       0.16172   500.00   500.00     1.50    8-HR  ALL       16011916          
  500020.00000 8341827.00000       8.02002   500.00   500.00     1.50    8-HR  ALL       16011916          
  499990.00000 8341510.00000       0.00974   500.00   500.00     1.50    8-HR  ALL       16011924          
  500020.00000 8341827.00000       0.36523   500.00   500.00     1.50    8-HR  ALL       16011924          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012008          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012008          
  499990.00000 8341510.00000       0.79131   500.00   500.00     1.50    8-HR  ALL       16012016          
  500020.00000 8341827.00000      13.49657   500.00   500.00     1.50    8-HR  ALL       16012016          
  499990.00000 8341510.00000       0.01734   500.00   500.00     1.50    8-HR  ALL       16012024          
  500020.00000 8341827.00000       0.20924   500.00   500.00     1.50    8-HR  ALL       16012024          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012108          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012108          
  499990.00000 8341510.00000       0.17470   500.00   500.00     1.50    8-HR  ALL       16012116          
  500020.00000 8341827.00000       8.20236   500.00   500.00     1.50    8-HR  ALL       16012116          
  499990.00000 8341510.00000       0.00172   500.00   500.00     1.50    8-HR  ALL       16012124          
  500020.00000 8341827.00000       0.04585   500.00   500.00     1.50    8-HR  ALL       16012124          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012208          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012208          
  499990.00000 8341510.00000       0.11282   500.00   500.00     1.50    8-HR  ALL       16012216          
  500020.00000 8341827.00000       3.97914   500.00   500.00     1.50    8-HR  ALL       16012216          
  499990.00000 8341510.00000       0.00053   500.00   500.00     1.50    8-HR  ALL       16012224          
  500020.00000 8341827.00000       0.00151   500.00   500.00     1.50    8-HR  ALL       16012224          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012308          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012308          
  499990.00000 8341510.00000       0.17568   500.00   500.00     1.50    8-HR  ALL       16012316          
  500020.00000 8341827.00000      10.16314   500.00   500.00     1.50    8-HR  ALL       16012316          
  499990.00000 8341510.00000       0.00158   500.00   500.00     1.50    8-HR  ALL       16012324          
  500020.00000 8341827.00000       0.03690   500.00   500.00     1.50    8-HR  ALL       16012324          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012408          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012408          
  499990.00000 8341510.00000       0.20316   500.00   500.00     1.50    8-HR  ALL       16012416          
  500020.00000 8341827.00000       8.77357   500.00   500.00     1.50    8-HR  ALL       16012416          
  499990.00000 8341510.00000       0.00012   500.00   500.00     1.50    8-HR  ALL       16012424          
  500020.00000 8341827.00000       0.00627   500.00   500.00     1.50    8-HR  ALL       16012424          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012508          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012508          
  499990.00000 8341510.00000       0.43299   500.00   500.00     1.50    8-HR  ALL       16012516          
  500020.00000 8341827.00000      17.89302   500.00   500.00     1.50    8-HR  ALL       16012516          
  499990.00000 8341510.00000       0.00798   500.00   500.00     1.50    8-HR  ALL       16012524          
  500020.00000 8341827.00000       0.19331   500.00   500.00     1.50    8-HR  ALL       16012524          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012608          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012608          
  499990.00000 8341510.00000       0.58604   500.00   500.00     1.50    8-HR  ALL       16012616          
  500020.00000 8341827.00000      11.10180   500.00   500.00     1.50    8-HR  ALL       16012616          
  499990.00000 8341510.00000       0.00684   500.00   500.00     1.50    8-HR  ALL       16012624          
  500020.00000 8341827.00000       0.29752   500.00   500.00     1.50    8-HR  ALL       16012624          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012708          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012708          
  499990.00000 8341510.00000       0.47768   500.00   500.00     1.50    8-HR  ALL       16012716          
  500020.00000 8341827.00000      17.61048   500.00   500.00     1.50    8-HR  ALL       16012716          
  499990.00000 8341510.00000       0.00232   500.00   500.00     1.50    8-HR  ALL       16012724          
  500020.00000 8341827.00000       0.05739   500.00   500.00     1.50    8-HR  ALL       16012724          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012808          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012808          
  499990.00000 8341510.00000       0.51897   500.00   500.00     1.50    8-HR  ALL       16012816          
  500020.00000 8341827.00000      15.98213   500.00   500.00     1.50    8-HR  ALL       16012816          
  499990.00000 8341510.00000       0.00228   500.00   500.00     1.50    8-HR  ALL       16012824          
  500020.00000 8341827.00000       0.15672   500.00   500.00     1.50    8-HR  ALL       16012824          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012908          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16012908          
  499990.00000 8341510.00000       0.46008   500.00   500.00     1.50    8-HR  ALL       16012916          
  500020.00000 8341827.00000      12.08776   500.00   500.00     1.50    8-HR  ALL       16012916          
  499990.00000 8341510.00000       0.00206   500.00   500.00     1.50    8-HR  ALL       16012924          
  500020.00000 8341827.00000       0.03320   500.00   500.00     1.50    8-HR  ALL       16012924          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16013008          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16013008          
  499990.00000 8341510.00000       0.30309   500.00   500.00     1.50    8-HR  ALL       16013016          
  500020.00000 8341827.00000       9.09200   500.00   500.00     1.50    8-HR  ALL       16013016          
  499990.00000 8341510.00000       0.00584   500.00   500.00     1.50    8-HR  ALL       16013024          
  500020.00000 8341827.00000       0.32155   500.00   500.00     1.50    8-HR  ALL       16013024          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16013108          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16013108          
  499990.00000 8341510.00000       0.24883   500.00   500.00     1.50    8-HR  ALL       16013116          
  500020.00000 8341827.00000       9.82685   500.00   500.00     1.50    8-HR  ALL       16013116          
  499990.00000 8341510.00000       0.00297   500.00   500.00     1.50    8-HR  ALL       16013124          
  500020.00000 8341827.00000       0.11643   500.00   500.00     1.50    8-HR  ALL       16013124          
