* AERMOD ( 19191): DISPERSIÓN - CO                                                         04/30/20
* AERMET ( 19191): EJECUTADO POR N. USCUCHAGUA                                              22:39:42
* MODELING OPTIONS USED:   NonDFAULT  CONC  FLAT  FLGPOL  RURAL  ADJ_U*  MMIF_Data
*         POST/PLOT FILE OF CONCURRENT  8-HR VALUES FOR SOURCE GROUP: ALL     
*         FOR A TOTAL OF     2 RECEPTORS.
*         FORMAT: (3(1X,F13.5),3(1X,F8.2),2X,A6,2X,A8,2X,I8.8,2X,A8)                                                                                                                                                      
*        X             Y      AVERAGE CONC    ZELEV    ZHILL    ZFLAG    AVE     GRP       DATE     NET ID
* ____________  ____________  ____________   ______   ______   ______  ______  ________  ________  ________
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010108          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010108          
  499990.00000 8341510.00000       0.18781   500.00   500.00     1.50    8-HR  ALL       16010116          
  500020.00000 8341827.00000       9.00839   500.00   500.00     1.50    8-HR  ALL       16010116          
  499990.00000 8341510.00000       0.00105   500.00   500.00     1.50    8-HR  ALL       16010124          
  500020.00000 8341827.00000       0.00317   500.00   500.00     1.50    8-HR  ALL       16010124          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010208          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010208          
  499990.00000 8341510.00000       0.35569   500.00   500.00     1.50    8-HR  ALL       16010216          
  500020.00000 8341827.00000       7.29979   500.00   500.00     1.50    8-HR  ALL       16010216          
  499990.00000 8341510.00000       0.00173   500.00   500.00     1.50    8-HR  ALL       16010224          
  500020.00000 8341827.00000       0.00791   500.00   500.00     1.50    8-HR  ALL       16010224          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010308          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010308          
  499990.00000 8341510.00000       0.37938   500.00   500.00     1.50    8-HR  ALL       16010316          
  500020.00000 8341827.00000      15.52368   500.00   500.00     1.50    8-HR  ALL       16010316          
  499990.00000 8341510.00000       0.00200   500.00   500.00     1.50    8-HR  ALL       16010324          
  500020.00000 8341827.00000       0.00445   500.00   500.00     1.50    8-HR  ALL       16010324          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010408          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    8-HR  ALL       16010408          
  499990.00000 8341510.00000       0.25084   500.00   500.00     1.50    8-HR  ALL       16010416          
  500020.00000 8341827.00000       8.53801   500.00   500.00     1.50    8-HR  ALL       16010416          
  499990.00000 8341510.00000       0.00284   500.00   500.00     1.50    8-HR  ALL       16010424          
  500020.00000 8341827.00000       0.06930   500.00   500.00     1.50    8-HR  ALL       16010424          
